,rank,merchant_abn,order_date,num_consumer,num_transaction,total_revenue
0,101.0,22059270846,2021-02-01,32,32,9062.046551371208
1,101.0,22059270846,2021-03-01,1020,1037,212365.83562736557
2,101.0,22059270846,2021-04-01,1083,1102,225404.88633817463
3,101.0,22059270846,2021-05-01,1271,1302,260514.68711364956
4,101.0,22059270846,2021-06-01,1233,1258,252470.1226313142
5,101.0,22059270846,2021-07-01,1206,1238,239681.8959515993
6,101.0,22059270846,2021-08-01,1364,1402,290847.3600331439
7,101.0,22059270846,2021-09-01,1275,1305,263579.4516804467
8,101.0,22059270846,2021-10-01,1316,1342,278303.7320699353
9,101.0,22059270846,2021-11-01,1841,1916,396514.17184684845
10,101.0,22059270846,2021-12-01,1771,1844,374224.1108096806
11,101.0,22059270846,2022-01-01,1008,1033,219451.3466199501
12,101.0,22059270846,2022-02-01,1062,1084,219526.71899279978
13,101.0,22059270846,2022-03-01,1254,1287,263043.9550721958
14,101.0,22059270846,2022-04-01,1302,1340,271694.88317557407
15,101.0,22059270846,2022-05-01,1540,1581,326928.48417564324
16,101.0,22059270846,2022-06-01,1378,1432,281325.3335494519
17,101.0,22059270846,2022-07-01,1469,1517,307396.77532796585
18,101.0,22059270846,2022-08-01,1481,1530,306107.0141395514
19,101.0,22059270846,2022-09-01,1617,1672,338175.73709825834
20,101.0,22059270846,2022-10-01,1419,1451,282535.8322068869

21,102.0,88699453206,2021-02-01,9,9,23829.416694041738
22,102.0,88699453206,2021-03-01,451,453,771559.3771798451
23,102.0,88699453206,2021-04-01,486,489,809145.2583104506
24,102.0,88699453206,2021-05-01,559,571,938476.558865168
25,102.0,88699453206,2021-06-01,545,550,929193.0304296484
26,102.0,88699453206,2021-07-01,524,528,890564.9692991615
27,102.0,88699453206,2021-08-01,594,607,1084609.1096167471
28,102.0,88699453206,2021-09-01,574,581,1014005.8435567576
29,102.0,88699453206,2021-10-01,624,633,1060142.248423295
30,102.0,88699453206,2021-11-01,863,875,1456602.6192859171
31,102.0,88699453206,2021-12-01,791,808,1360410.0370257888
32,102.0,88699453206,2022-01-01,457,461,772565.6835079386
33,102.0,88699453206,2022-02-01,420,425,777140.5827325194
34,102.0,88699453206,2022-03-01,618,626,1046183.0923587768
35,102.0,88699453206,2022-04-01,557,561,968471.206799631
36,102.0,88699453206,2022-05-01,598,603,997629.2631440833
37,102.0,88699453206,2022-06-01,600,612,991517.8610869943
38,102.0,88699453206,2022-07-01,648,659,1109750.0904588464
39,102.0,88699453206,2022-08-01,623,630,1070522.9373448272
40,102.0,88699453206,2022-09-01,667,675,1156977.7543174347
41,102.0,88699453206,2022-10-01,597,601,1005025.0594630522

42,113.0,11237511112,2021-02-01,16,16,7920.305596487846
43,113.0,11237511112,2021-03-01,799,809,361463.00151068845
44,113.0,11237511112,2021-04-01,833,845,369471.7499198131
45,113.0,11237511112,2021-05-01,936,953,424268.33489275025
46,113.0,11237511112,2021-06-01,882,899,387169.0725527361
47,113.0,11237511112,2021-07-01,925,949,434050.0179916276
48,113.0,11237511112,2021-08-01,958,985,448364.8076653941
49,113.0,11237511112,2021-09-01,970,982,451591.7857299371
50,113.0,11237511112,2021-10-01,1090,1109,522916.35627752973
