rank,merchant_abn,name,tags,revenue_level,take_rate,pred_total_num_consumer,pred_total_num_transaction,pred_total_revenue,scaled_pred_total_num_consumer,scaled_pred_total_num_transaction,scaled_pred_total_revenue,score,segment
1.0,86578477987,Leo In Consulting,watch,a,6.43,18424.119848250022,187019.05811423523,42948918.5013654,82.00830056800945,93.86635484696475,100.0,92.76239662449225,personal & household good retail
2.0,45629217853,Lacus Consulting,gift,a,6.98,20247.863835261804,152088.7053581199,41344547.33010843,90.12603678975726,76.33453258352237,96.26446665657957,88.44395747461573,personal & household good retail
6.0,64403598239,Lobortis Ultrices Company,music,a,6.31,22466.16466947868,77955.86097038313,36496220.41147522,100.0,39.1266675280601,84.97587758889658,75.72835129397666,personal & household good retail
7.0,43186523025,Lorem Ipsum Sodales Industries,florists,b,4.47,21202.34111694936,138223.04147683302,28205880.63797462,94.37454691923324,69.37524544352073,65.67308705824087,75.39417253212254,personal & household good retail
8.0,24852446429,Erat Vitae LLP,florists,c,2.94,18397.050800030105,199239.71525169184,18467904.29071844,81.8878124979799,99.99999999999999,42.999695766801025,71.76622205611437,personal & household good retail
9.0,32361057556,Orci In Consequat Corporation,gift,a,6.61,21585.40579498708,58492.62482015632,35861277.798303254,96.07962067647377,29.357914282433523,83.49751064666083,71.03026474633651,personal & household good retail
10.0,94493496784,Dictum Phasellus In Institute,gift,a,5.65,22246.385803339566,67378.1712257733,32377610.843894247,99.02173393023467,33.817640795489524,75.38632397196433,70.00634200650299,personal & household good retail
13.0,79417999332,Phasellus At Company,gift,b,4.95,22391.67569066936,67990.53890020667,29203884.52966234,99.6684392734354,34.12499300870655,67.99678676131022,67.33674438916667,personal & household good retail
14.0,63290521567,Vehicula Pellentesque Corporation,artist supply,a,6.48,22137.241348813885,119974.73567557408,20020433.633254778,98.5359168976819,60.21627541678356,46.61452332639832,66.27146702489897,personal & household good retail
17.0,60956456424,Ultricies Dignissim LLP,gift,b,4.69,22142.323584358302,62221.57953406426,26097622.77363604,98.55853862960271,31.22950635392253,60.76433047506508,63.24214568508361,personal & household good retail
