,rank,merchant_abn,order_date,num_consumer,num_transaction,total_revenue
0,18.0,68216911708,2021-02-01,231,233,29359.413312870856
1,18.0,68216911708,2021-03-01,5974,6859,816886.2991262337
2,18.0,68216911708,2021-04-01,6117,7076,825831.5315847376
3,18.0,68216911708,2021-05-01,6983,8215,971020.0086933513
4,18.0,68216911708,2021-06-01,6692,7826,923372.1558017306
5,18.0,68216911708,2021-07-01,7027,8307,980314.6600174058
6,18.0,68216911708,2021-08-01,7367,8760,1026059.3263482535
7,18.0,68216911708,2021-09-01,7190,8542,1012476.3029900844
8,18.0,68216911708,2021-10-01,7726,9301,1088213.4450185623
9,18.0,68216911708,2021-11-01,9759,12553,1491425.0037954608
10,18.0,68216911708,2021-12-01,9487,11976,1404634.257259207
11,18.0,68216911708,2022-01-01,6030,6940,830273.1444843228
12,18.0,68216911708,2022-02-01,5887,6732,780583.4166408747
13,18.0,68216911708,2022-03-01,7092,8455,997369.7053136622
14,18.0,68216911708,2022-04-01,7215,8581,1016357.4384814275
15,18.0,68216911708,2022-05-01,7952,9663,1141393.4456086024
16,18.0,68216911708,2022-06-01,7878,9546,1147072.1316844006
17,18.0,68216911708,2022-07-01,8276,10134,1207120.5852891395
18,18.0,68216911708,2022-08-01,8489,10520,1238540.0662578454
19,18.0,68216911708,2022-09-01,8388,10206,1206846.036795332
20,18.0,68216911708,2022-10-01,7707,9330,1108180.1508770755

21,23.0,96680767841,2021-02-01,41,41,84877.1399423955
22,23.0,96680767841,2021-03-01,1170,1193,2210476.593503813
23,23.0,96680767841,2021-04-01,1163,1188,2176585.9552695956
24,23.0,96680767841,2021-05-01,1331,1367,2540264.9875613027
25,23.0,96680767841,2021-06-01,1306,1342,2471567.4069962036
26,23.0,96680767841,2021-07-01,1388,1427,2736277.593107276
27,23.0,96680767841,2021-08-01,1420,1478,2733643.6852308614
28,23.0,96680767841,2021-09-01,1442,1481,2740006.2191922665
29,23.0,96680767841,2021-10-01,1560,1612,2995323.140930152
30,23.0,96680767841,2021-11-01,2089,2203,4068912.022892221
31,23.0,96680767841,2021-12-01,1997,2084,3865513.7532009785
32,23.0,96680767841,2022-01-01,1237,1270,2354416.343332005
33,23.0,96680767841,2022-02-01,1124,1148,2109795.636146675
34,23.0,96680767841,2022-03-01,1450,1488,2885608.660674707
35,23.0,96680767841,2022-04-01,1411,1454,2734102.874845843
36,23.0,96680767841,2022-05-01,1656,1729,3294431.8592164805
37,23.0,96680767841,2022-06-01,1549,1609,3004173.250560077
38,23.0,96680767841,2022-07-01,1724,1793,3254036.372366663
39,23.0,96680767841,2022-08-01,1761,1821,3357138.679057345
40,23.0,96680767841,2022-09-01,1746,1809,3326776.958515637
41,23.0,96680767841,2022-10-01,1550,1597,3013851.9844876323

42,24.0,35909341340,2021-02-01,51,51,60807.14800164697
43,24.0,35909341340,2021-03-01,1431,1463,1754538.5333635733
44,24.0,35909341340,2021-04-01,1449,1491,1842334.8626234753
45,24.0,35909341340,2021-05-01,1537,1599,1905813.164243709
46,24.0,35909341340,2021-06-01,1635,1687,1987807.384106364
47,24.0,35909341340,2021-07-01,1699,1755,2151813.4167009788
48,24.0,35909341340,2021-08-01,1722,1801,2156712.5866484437
49,24.0,35909341340,2021-09-01,1786,1863,2316646.9528724835
50,24.0,35909341340,2021-10-01,1913,1990,2391336.0162077122
51,24.0,35909341340,2021-11-01,2568,2716,3304305.853888044
52,24.0,35909341340,2021-12-01,2387,2518,2998027.1481216513
53,24.0,35909341340,2022-01-01,1457,1501,1816532.9011149257
54,24.0,35909341340,2022-02-01,1426,1481,1746863.7857859835
55,24.0,35909341340,2022-03-01,1633,1687,2022260.1879113114
56,24.0,35909341340,2022-04-01,1712,1779,2151023.543889251
57,24.0,35909341340,2022-05-01,1941,2051,2447914.479349531
58,24.0,35909341340,2022-06-01,1845,1939,2342316.9094212274
59,24.0,35909341340,2022-07-01,2085,2181,2627569.078815403
60,24.0,35909341340,2022-08-01,2104,2208,2625625.974818684
61,24.0,35909341340,2022-09-01,2126,2220,2655972.0466126413
62,24.0,35909341340,2022-10-01,1918,2004,2429205.5364548024

63,29.0,67400260923,2021-02-01,45,45,37221.61812189571
64,29.0,67400260923,2021-03-01,1404,1445,1300453.978949588
65,29.0,67400260923,2021-04-01,1427,1464,1308109.036452844
66,29.0,67400260923,2021-05-01,1660,1715,1519275.089333844
67,29.0,67400260923,2021-06-01,1660,1720,1541659.5257863721
68,29.0,67400260923,2021-07-01,1702,1773,1564596.3193700677
69,29.0,67400260923,2021-08-01,1782,1854,1662253.729126077
70,29.0,67400260923,2021-09-01,1744,1798,1598717.7826643256
71,29.0,67400260923,2021-10-01,1789,1858,1627156.495948192
72,29.0,67400260923,2021-11-01,2527,2675,2376476.1371625513
73,29.0,67400260923,2021-12-01,2464,2600,2313872.6725219293
74,29.0,67400260923,2022-01-01,1380,1423,1332806.8692032585
75,29.0,67400260923,2022-02-01,1389,1424,1257809.8272288577
76,29.0,67400260923,2022-03-01,1615,1670,1516044.2462673758
77,29.0,67400260923,2022-04-01,1756,1825,1629321.2210599622
78,29.0,67400260923,2022-05-01,1812,1886,1717388.3282836995
79,29.0,67400260923,2022-06-01,1952,2015,1809134.226314267
80,29.0,67400260923,2022-07-01,2029,2124,1904470.4254205753
81,29.0,67400260923,2022-08-01,2023,2116,1893868.913824305
82,29.0,67400260923,2022-09-01,2064,2166,1905867.0706407125
83,29.0,67400260923,2022-10-01,1851,1931,1791606.909874171

84,31.0,94690988633,2021-02-01,43,43,62315.83800060791
85,31.0,94690988633,2021-03-01,1195,1218,1484272.9808546945
86,31.0,94690988633,2021-04-01,1210,1237,1538563.3329112036
87,31.0,94690988633,2021-05-01,1318,1359,1632112.3073227406
88,31.0,94690988633,2021-06-01,1335,1371,1788197.31925078
89,31.0,94690988633,2021-07-01,1404,1440,1801272.9697836898
90,31.0,94690988633,2021-08-01,1554,1601,2060603.0857936174
91,31.0,94690988633,2021-09-01,1449,1493,1903711.5097673056
92,31.0,94690988633,2021-10-01,1588,1646,2019928.737854634
93,31.0,94690988633,2021-11-01,2089,2178,2644903.1073115882
94,31.0,94690988633,2021-12-01,2017,2090,2517700.535320703
95,31.0,94690988633,2022-01-01,1169,1190,1475675.2959512996
96,31.0,94690988633,2022-02-01,1086,1108,1397122.678746213
97,31.0,94690988633,2022-03-01,1373,1413,1785718.1853301576
98,31.0,94690988633,2022-04-01,1443,1498,1829825.5286656423
99,31.0,94690988633,2022-05-01,1667,1716,2178958.840697855
100,31.0,94690988633,2022-06-01,1557,1610,2135145.343984777
101,31.0,94690988633,2022-07-01,1631,1702,2151195.8956016004
102,31.0,94690988633,2022-08-01,1747,1812,2243730.6262919
103,31.0,94690988633,2022-09-01,1791,1863,2350743.0652004704
104,31.0,94690988633,2022-10-01,1557,1603,1999048.8536111268

105,35.0,58454491168,2021-02-01,33,33,50115.983448922925
106,35.0,58454491168,2021-03-01,1040,1068,1619177.9548967844
107,35.0,58454491168,2021-04-01,1050,1075,1623299.3863158314
108,35.0,58454491168,2021-05-01,1178,1212,1840873.1896789782
109,35.0,58454491168,2021-06-01,1152,1173,1807451.6361054797
110,35.0,58454491168,2021-07-01,1196,1224,1843580.7007867342
111,35.0,58454491168,2021-08-01,1175,1198,1827915.8792806119
112,35.0,58454491168,2021-09-01,1244,1274,1938614.8159994744
113,35.0,58454491168,2021-10-01,1312,1360,2103528.8266118867
114,35.0,58454491168,2021-11-01,1802,1875,2844487.124319054
115,35.0,58454491168,2021-12-01,1677,1736,2610208.9014819073
116,35.0,58454491168,2022-01-01,988,1012,1492416.3257275291
117,35.0,58454491168,2022-02-01,1008,1038,1602647.4061249106
118,35.0,58454491168,2022-03-01,1205,1242,1840958.7806982792
119,35.0,58454491168,2022-04-01,1247,1283,2023601.2848394492
120,35.0,58454491168,2022-05-01,1374,1423,2092657.442106782
121,35.0,58454491168,2022-06-01,1400,1439,2164891.23811629
122,35.0,58454491168,2022-07-01,1445,1484,2204692.8554962054
123,35.0,58454491168,2022-08-01,1531,1586,2344863.225658532
124,35.0,58454491168,2022-09-01,1533,1571,2292961.0078509143
125,35.0,58454491168,2022-10-01,1269,1305,1928651.8513397798

126,39.0,80518954462,2021-02-01,33,33,36060.98457131713
127,39.0,80518954462,2021-03-01,1099,1135,1180872.7570226744
128,39.0,80518954462,2021-04-01,1151,1178,1294373.6411105802
129,39.0,80518954462,2021-05-01,1257,1289,1354396.0042565432
130,39.0,80518954462,2021-06-01,1307,1341,1346977.9118061415
131,39.0,80518954462,2021-07-01,1264,1301,1447454.3007857127
132,39.0,80518954462,2021-08-01,1424,1469,1555457.8292706097
133,39.0,80518954462,2021-09-01,1408,1448,1527846.42132481
134,39.0,80518954462,2021-10-01,1510,1563,1614145.339511059
135,39.0,80518954462,2021-11-01,2062,2146,2229748.96616655
136,39.0,80518954462,2021-12-01,1891,1969,2044072.4893314666
137,39.0,80518954462,2022-01-01,1090,1116,1110803.4347904783
138,39.0,80518954462,2022-02-01,1077,1103,1143416.3761182763
139,39.0,80518954462,2022-03-01,1359,1396,1421156.8377914673
140,39.0,80518954462,2022-04-01,1362,1407,1524678.1928257025
141,39.0,80518954462,2022-05-01,1539,1579,1683729.367900445
142,39.0,80518954462,2022-06-01,1531,1577,1638588.8249381073
143,39.0,80518954462,2022-07-01,1652,1712,1798839.6651640947
144,39.0,80518954462,2022-08-01,1655,1712,1848922.4616757133
145,39.0,80518954462,2022-09-01,1665,1718,1750216.9436221707
146,39.0,80518954462,2022-10-01,1503,1552,1647660.267410839

147,49.0,17488304283,2021-02-01,54,54,37068.404620269364
148,49.0,17488304283,2021-03-01,1258,1294,771853.8713662409
149,49.0,17488304283,2021-04-01,1288,1322,789941.6511100145
150,49.0,17488304283,2021-05-01,1444,1490,903073.7146747331
151,49.0,17488304283,2021-06-01,1438,1482,880815.2277457912
152,49.0,17488304283,2021-07-01,1549,1606,972293.0450267876
153,49.0,17488304283,2021-08-01,1549,1610,965349.6975664098
154,49.0,17488304283,2021-09-01,1588,1638,994512.6601455851
155,49.0,17488304283,2021-10-01,1690,1742,1087951.1413010568
156,49.0,17488304283,2021-11-01,2180,2298,1378231.3667459553
157,49.0,17488304283,2021-12-01,2174,2287,1376674.677595401
